species,life_stage,depth,suit
chinook,adult,0,0
chinook,adult,0.01,0
chinook,adult,0.02,0
chinook,adult,0.03,0
chinook,adult,0.04,0
chinook,adult,0.05,0
chinook,adult,0.06,0
chinook,adult,0.07,0
chinook,adult,0.08,0
chinook,adult,0.09,0
chinook,adult,0.1,0
chinook,adult,0.11,0
chinook,adult,0.12,0
chinook,adult,0.13,0
chinook,adult,0.14,0
chinook,adult,0.15,0
chinook,adult,0.16,0
chinook,adult,0.17,0
chinook,adult,0.18,0
chinook,adult,0.19,0
chinook,adult,0.2,0
chinook,adult,0.21,0
chinook,adult,0.22,0
chinook,adult,0.23,0
chinook,adult,0.24,0
chinook,adult,0.25,0.02
chinook,adult,0.26,0.04
chinook,adult,0.27,0.05
chinook,adult,0.28,0.07
chinook,adult,0.29,0.09
chinook,adult,0.3,0.11
chinook,adult,0.31,0.13
chinook,adult,0.32,0.14
chinook,adult,0.33,0.16
chinook,adult,0.34,0.18
chinook,adult,0.35,0.2
chinook,adult,0.36,0.21
chinook,adult,0.37,0.23
chinook,adult,0.38,0.25
chinook,adult,0.39,0.27
chinook,adult,0.4,0.29
chinook,adult,0.41,0.3
chinook,adult,0.42,0.32
chinook,adult,0.43,0.34
chinook,adult,0.44,0.36
chinook,adult,0.45,0.38
chinook,adult,0.46,0.39
chinook,adult,0.47,0.41
chinook,adult,0.48,0.43
chinook,adult,0.49,0.45
chinook,adult,0.5,0.46
chinook,adult,0.51,0.48
chinook,adult,0.52,0.5
chinook,adult,0.53,0.52
chinook,adult,0.54,0.54
chinook,adult,0.55,0.55
chinook,adult,0.56,0.57
chinook,adult,0.57,0.59
chinook,adult,0.58,0.61
chinook,adult,0.59,0.63
chinook,adult,0.6,0.64
chinook,adult,0.61,0.66
chinook,adult,0.62,0.68
chinook,adult,0.63,0.7
chinook,adult,0.64,0.71
chinook,adult,0.65,0.73
chinook,adult,0.66,0.75
chinook,adult,0.67,0.77
chinook,adult,0.68,0.79
chinook,adult,0.69,0.8
chinook,adult,0.7,0.82
chinook,adult,0.71,0.84
chinook,adult,0.72,0.86
chinook,adult,0.73,0.88
chinook,adult,0.74,0.89
chinook,adult,0.75,0.91
chinook,adult,0.76,0.93
