species,life_stage,velocity,suit
rainbow,fry,0,0.2
rainbow,fry,0.01,0.5
rainbow,fry,0.02,0.7
rainbow,fry,0.03,0.8
rainbow,fry,0.04,0.85
rainbow,fry,0.05,0.9
rainbow,fry,0.06,0.95
rainbow,fry,0.07,1
rainbow,fry,0.08,1
rainbow,fry,0.09,1
rainbow,fry,0.1,1
rainbow,fry,0.11,1
rainbow,fry,0.12,1
rainbow,fry,0.13,1
rainbow,fry,0.14,1
rainbow,fry,0.15,1
rainbow,fry,0.16,1
rainbow,fry,0.17,1
rainbow,fry,0.18,1
rainbow,fry,0.19,1
rainbow,fry,0.2,1
rainbow,fry,0.21,0.97
rainbow,fry,0.22,0.94
rainbow,fry,0.23,0.92
rainbow,fry,0.24,0.89
rainbow,fry,0.25,0.86
rainbow,fry,0.26,0.82
rainbow,fry,0.27,0.79
rainbow,fry,0.28,0.75
rainbow,fry,0.29,0.72
rainbow,fry,0.3,0.68
rainbow,fry,0.31,0.65
rainbow,fry,0.32,0.62
rainbow,fry,0.33,0.58
rainbow,fry,0.34,0.55
rainbow,fry,0.35,0.52
rainbow,fry,0.36,0.49
rainbow,fry,0.37,0.45
rainbow,fry,0.38,0.42
rainbow,fry,0.39,0.38
rainbow,fry,0.4,0.35
rainbow,fry,0.41,0.32
rainbow,fry,0.42,0.3
rainbow,fry,0.43,0.27
rainbow,fry,0.44,0.25
rainbow,fry,0.45,0.22
rainbow,fry,0.46,0.21
rainbow,fry,0.47,0.2
rainbow,fry,0.48,0.18
rainbow,fry,0.49,0.17
rainbow,fry,0.5,0.16
rainbow,fry,0.51,0.15
rainbow,fry,0.52,0.14
rainbow,fry,0.53,0.13
rainbow,fry,0.54,0.12
rainbow,fry,0.55,0.11
rainbow,fry,0.56,0.1
rainbow,fry,0.57,0.09
rainbow,fry,0.58,0.08
rainbow,fry,0.59,0.07
rainbow,fry,0.6,0.06
rainbow,fry,0.61,0.05
rainbow,fry,0.62,0.05
rainbow,fry,0.63,0.04
rainbow,fry,0.64,0.04
rainbow,fry,0.65,0.02
rainbow,fry,0.66,0.02
rainbow,fry,0.67,0.02
rainbow,fry,0.68,0.01
rainbow,fry,0.69,0.01
rainbow,fry,0.7,0
rainbow,fry,0.71,0
rainbow,fry,0.72,0
rainbow,fry,0.73,0
rainbow,fry,0.74,0
rainbow,fry,0.75,0
rainbow,fry,0.76,0
rainbow,fry,0.77,0
rainbow,fry,0.78,0
rainbow,fry,0.79,0
rainbow,fry,0.8,0
rainbow,fry,0.81,0
rainbow,fry,0.82,0
rainbow,fry,0.83,0
rainbow,fry,0.84,0
rainbow,fry,0.85,0
rainbow,fry,0.86,0
rainbow,fry,0.87,0
rainbow,fry,0.88,0
rainbow,fry,0.89,0
rainbow,fry,0.9,0
rainbow,fry,0.91,0
rainbow,fry,0.92,0
rainbow,fry,0.93,0
rainbow,fry,0.94,0
rainbow,fry,0.95,0
rainbow,fry,0.96,0
rainbow,fry,0.97,0
rainbow,fry,0.98,0
rainbow,fry,0.99,0
rainbow,fry,1,0
rainbow,fry,1.01,0
rainbow,fry,1.02,0
rainbow,fry,1.03,0
rainbow,fry,1.04,0
rainbow,fry,1.05,0
rainbow,fry,1.06,0
rainbow,fry,1.07,0
rainbow,fry,1.08,0
rainbow,fry,1.09,0
rainbow,fry,1.1,0
rainbow,fry,1.11,0
rainbow,fry,1.12,0
rainbow,fry,1.13,0
rainbow,fry,1.14,0
rainbow,fry,1.15,0
rainbow,fry,1.16,0
rainbow,fry,1.17,0
rainbow,fry,1.18,0
rainbow,fry,1.19,0
rainbow,fry,1.2,0
rainbow,fry,1.21,0
rainbow,fry,1.22,0
rainbow,fry,1.23,0
rainbow,fry,1.24,0
rainbow,fry,1.25,0
rainbow,fry,1.26,0
rainbow,fry,1.27,0
rainbow,fry,1.28,0
rainbow,fry,1.29,0
rainbow,fry,1.3,0
rainbow,fry,1.31,0
rainbow,fry,1.32,0
rainbow,fry,1.33,0
rainbow,fry,1.34,0
rainbow,fry,1.35,0
rainbow,fry,1.36,0
rainbow,fry,1.37,0
rainbow,fry,1.38,0
rainbow,fry,1.39,0
rainbow,fry,1.4,0
rainbow,fry,1.41,0
rainbow,fry,1.42,0
rainbow,fry,1.43,0
rainbow,fry,1.44,0
rainbow,fry,1.45,0
rainbow,fry,1.46,0
rainbow,fry,1.47,0
rainbow,fry,1.48,0
rainbow,fry,1.49,0
rainbow,fry,1.5,0
rainbow,fry,1.51,0
rainbow,fry,1.52,0
rainbow,fry,1.53,0
rainbow,fry,1.54,0
rainbow,fry,1.55,0
rainbow,fry,1.56,0
rainbow,fry,1.57,0
rainbow,fry,1.58,0
rainbow,fry,1.59,0
rainbow,fry,1.6,0
rainbow,fry,1.61,0
rainbow,fry,1.62,0
rainbow,fry,1.63,0
rainbow,fry,1.64,0
rainbow,fry,1.65,0
rainbow,fry,1.66,0
rainbow,fry,1.67,0
rainbow,fry,1.68,0
rainbow,fry,1.69,0
rainbow,fry,1.7,0
rainbow,fry,1.71,0
rainbow,fry,1.72,0
rainbow,fry,1.73,0
rainbow,fry,1.74,0
rainbow,fry,1.75,0
rainbow,fry,1.76,0
rainbow,fry,1.77,0
rainbow,fry,1.78,0
rainbow,fry,1.79,0
rainbow,fry,1.8,0
rainbow,fry,1.81,0
rainbow,fry,1.82,0
rainbow,fry,1.83,0
rainbow,fry,1.84,0
rainbow,fry,1.85,0
rainbow,fry,1.86,0
rainbow,fry,1.87,0
rainbow,fry,1.88,0
rainbow,fry,1.89,0
rainbow,fry,1.9,0
rainbow,fry,1.91,0
rainbow,fry,1.92,0
rainbow,fry,1.93,0
rainbow,fry,1.94,0
rainbow,fry,1.95,0
rainbow,fry,1.96,0
rainbow,fry,1.97,0
rainbow,fry,1.98,0
rainbow,fry,1.99,0
rainbow,fry,2,0
rainbow,fry,2.01,0
rainbow,fry,2.02,0
rainbow,fry,2.03,0
rainbow,fry,2.04,0
rainbow,fry,2.05,0
rainbow,fry,2.06,0
rainbow,fry,2.07,0
rainbow,fry,2.08,0
rainbow,fry,2.09,0
rainbow,fry,2.1,0
rainbow,fry,2.11,0
rainbow,fry,2.12,0
rainbow,fry,2.13,0
rainbow,fry,2.14,0
rainbow,fry,2.15,0
rainbow,fry,2.16,0
rainbow,fry,2.17,0
rainbow,fry,2.18,0
rainbow,fry,2.19,0
rainbow,fry,2.2,0
rainbow,fry,2.21,0
rainbow,fry,2.22,0
rainbow,fry,2.23,0
rainbow,fry,2.24,0
rainbow,fry,2.25,0
rainbow,fry,2.26,0
rainbow,fry,2.27,0
rainbow,fry,2.28,0
rainbow,fry,2.29,0
rainbow,fry,2.3,0
rainbow,fry,2.31,0
rainbow,fry,2.32,0
rainbow,fry,2.33,0
rainbow,fry,2.34,0
rainbow,fry,2.35,0
rainbow,fry,2.36,0
rainbow,fry,2.37,0
rainbow,fry,2.38,0
rainbow,fry,2.39,0
rainbow,fry,2.4,0
rainbow,fry,2.41,0
rainbow,fry,2.42,0
rainbow,fry,2.43,0
rainbow,fry,2.44,0
rainbow,fry,2.45,0
rainbow,fry,2.46,0
rainbow,fry,2.47,0
rainbow,fry,2.48,0
rainbow,fry,2.49,0
rainbow,fry,2.5,0
rainbow,fry,2.51,0
rainbow,fry,2.52,0
rainbow,fry,2.53,0
rainbow,fry,2.54,0
rainbow,fry,2.55,0
rainbow,fry,2.56,0
rainbow,fry,2.57,0
rainbow,fry,2.58,0
rainbow,fry,2.59,0
rainbow,fry,2.6,0
rainbow,fry,2.61,0
rainbow,fry,2.62,0
rainbow,fry,2.63,0
rainbow,fry,2.64,0
rainbow,fry,2.65,0
rainbow,fry,2.66,0
rainbow,fry,2.67,0
rainbow,fry,2.68,0
rainbow,fry,2.69,0
rainbow,fry,2.7,0
rainbow,fry,2.71,0
rainbow,fry,2.72,0
rainbow,fry,2.73,0
rainbow,fry,2.74,0
rainbow,fry,2.75,0
rainbow,fry,2.76,0
rainbow,fry,2.77,0
rainbow,fry,2.78,0
rainbow,fry,2.79,0
rainbow,fry,2.8,0
rainbow,fry,2.81,0
rainbow,fry,2.82,0
rainbow,fry,2.83,0
rainbow,fry,2.84,0
rainbow,fry,2.85,0
rainbow,fry,2.86,0
rainbow,fry,2.87,0
rainbow,fry,2.88,0
rainbow,fry,2.89,0
rainbow,fry,2.9,0
rainbow,fry,2.91,0
rainbow,fry,2.92,0
rainbow,fry,2.93,0
rainbow,fry,2.94,0
rainbow,fry,2.95,0
rainbow,fry,2.96,0
rainbow,fry,2.97,0
rainbow,fry,2.98,0
rainbow,fry,2.99,0
rainbow,fry,3,0
rainbow,fry,3.01,0
rainbow,fry,3.02,0
rainbow,fry,3.03,0
rainbow,fry,3.04,0
rainbow,fry,3.05,0
rainbow,fry,3.06,0
rainbow,fry,3.07,0
rainbow,fry,3.08,0
rainbow,fry,3.09,0
rainbow,fry,3.1,0
rainbow,fry,3.11,0
rainbow,fry,3.12,0
rainbow,fry,3.13,0
rainbow,fry,3.14,0
rainbow,fry,3.15,0
rainbow,fry,3.16,0
rainbow,fry,3.17,0
rainbow,fry,3.18,0
rainbow,fry,3.19,0
rainbow,fry,3.2,0
rainbow,fry,3.21,0
rainbow,fry,3.22,0
rainbow,fry,3.23,0
rainbow,fry,3.24,0
rainbow,fry,3.25,0
rainbow,fry,3.26,0
rainbow,fry,3.27,0
rainbow,fry,3.28,0
rainbow,fry,3.29,0
rainbow,fry,3.3,0
rainbow,fry,3.31,0
rainbow,fry,3.32,0
rainbow,fry,3.33,0
rainbow,fry,3.34,0
rainbow,fry,3.35,0
rainbow,fry,3.36,0
rainbow,fry,3.37,0
rainbow,fry,3.38,0
rainbow,fry,3.39,0
rainbow,fry,3.4,0
rainbow,fry,3.41,0
rainbow,fry,3.42,0
rainbow,fry,3.43,0
rainbow,fry,3.44,0
rainbow,fry,3.45,0
rainbow,fry,3.46,0
rainbow,fry,3.47,0
rainbow,fry,3.48,0
rainbow,fry,3.49,0
rainbow,fry,3.5,0
rainbow,fry,3.51,0
rainbow,fry,3.52,0
rainbow,fry,3.53,0
rainbow,fry,3.54,0
rainbow,fry,3.55,0
rainbow,fry,3.56,0
rainbow,fry,3.57,0
rainbow,fry,3.58,0
rainbow,fry,3.59,0
rainbow,fry,3.6,0
rainbow,fry,3.61,0
rainbow,fry,3.62,0
rainbow,fry,3.63,0
rainbow,fry,3.64,0
rainbow,fry,3.65,0
rainbow,fry,3.66,0
rainbow,fry,3.67,0
rainbow,fry,3.68,0
rainbow,fry,3.69,0
rainbow,fry,3.7,0
rainbow,fry,3.71,0
rainbow,fry,3.72,0
rainbow,fry,3.73,0
rainbow,fry,3.74,0
rainbow,fry,3.75,0
rainbow,fry,3.76,0
rainbow,fry,3.77,0
rainbow,fry,3.78,0
rainbow,fry,3.79,0
rainbow,fry,3.8,0
rainbow,fry,3.81,0
rainbow,fry,3.82,0
rainbow,fry,3.83,0
rainbow,fry,3.84,0
rainbow,fry,3.85,0
rainbow,fry,3.86,0
rainbow,fry,3.87,0
rainbow,fry,3.88,0
rainbow,fry,3.89,0
rainbow,fry,3.9,0
rainbow,fry,3.91,0
rainbow,fry,3.92,0
rainbow,fry,3.93,0
rainbow,fry,3.94,0
rainbow,fry,3.95,0
rainbow,fry,3.96,0
rainbow,fry,3.97,0
rainbow,fry,3.98,0
rainbow,fry,3.99,0
rainbow,fry,4,0
steelhead,fry,0,0.2
steelhead,fry,0.01,0.5
steelhead,fry,0.02,0.7
steelhead,fry,0.03,0.8
steelhead,fry,0.04,0.85
steelhead,fry,0.05,0.9
steelhead,fry,0.06,0.95
steelhead,fry,0.07,1
steelhead,fry,0.08,1
steelhead,fry,0.09,1
steelhead,fry,0.1,1
steelhead,fry,0.11,1
steelhead,fry,0.12,1
steelhead,fry,0.13,1
steelhead,fry,0.14,1
steelhead,fry,0.15,1
steelhead,fry,0.16,1
steelhead,fry,0.17,1
steelhead,fry,0.18,1
steelhead,fry,0.19,1
steelhead,fry,0.2,1
steelhead,fry,0.21,0.97
steelhead,fry,0.22,0.94
steelhead,fry,0.23,0.92
steelhead,fry,0.24,0.89
steelhead,fry,0.25,0.86
steelhead,fry,0.26,0.82
steelhead,fry,0.27,0.79
steelhead,fry,0.28,0.75
